batch_index,Div,league_name,match_date_iso,Time,HomeTeam,AwayTeam,source_row_index,source_url,match_key_sha256
58,I1,Italy Serie A,2024-08-24,19:45,Monza,Genoa,13,https://www.football-data.co.uk/mmz4281/2425/I1.csv,b743e389e1c3179b7c7510ee1a44aed3ce2f425332778865a2bbb01a5279a1bc
59,D1,Germany Bundesliga,2024-08-24,14:30,Augsburg,Werder Bremen,1,https://www.football-data.co.uk/mmz4281/2425/D1.csv,4b3f926b90df8dcc0ea2b632963d74d477f64a9d6af8aa5f49797b547638f33e
60,D1,Germany Bundesliga,2024-08-24,14:30,Freiburg,Stuttgart,2,https://www.football-data.co.uk/mmz4281/2425/D1.csv,1d5d92d83c819414608b7a7ba94cb338e9fcdde7c2eaeac565bbe930538c4e92
61,D1,Germany Bundesliga,2024-08-24,14:30,Hoffenheim,Holstein Kiel,3,https://www.football-data.co.uk/mmz4281/2425/D1.csv,1c5030b92227d85173f115793384a0e04624ac5daa1b75a32397c014edf8f3b4
62,D1,Germany Bundesliga,2024-08-24,14:30,Mainz,Union Berlin,4,https://www.football-data.co.uk/mmz4281/2425/D1.csv,68999bcc7f580ab634d4571d7fc1694d1909bc2d56778f4a9b2fe2f5ebcf9c2e
63,D1,Germany Bundesliga,2024-08-24,14:30,RB Leipzig,Bochum,5,https://www.football-data.co.uk/mmz4281/2425/D1.csv,c30aa823e1676a3445db6df551790cf316cc24c2ff29606aad35d4d11f9c43cc
64,D1,Germany Bundesliga,2024-08-24,17:30,Dortmund,Ein Frankfurt,6,https://www.football-data.co.uk/mmz4281/2425/D1.csv,8584be1690a12958396eeb9448365899ca4bc2a534a710f6164b9c5b324bf394
65,F1,France Ligue 1,2024-08-24,16:00,Lyon,Monaco,10,https://www.football-data.co.uk/mmz4281/2425/F1.csv,4384bb7c97040c55e90fda402305e191e2efd27926690e46def9122165ec45ad
66,F1,France Ligue 1,2024-08-24,18:00,Lille,Angers,11,https://www.football-data.co.uk/mmz4281/2425/F1.csv,2f1fd21b909b9287207f858b1fa8e7e183a444781768f3be506715c94e401dfe
67,F1,France Ligue 1,2024-08-24,20:00,St Etienne,Le Havre,12,https://www.football-data.co.uk/mmz4281/2425/F1.csv,33af5ec9774b550565315c4c1a923c60b0b695c4d39806d776b8c891fff705e6
68,E0,England Premier League,2024-08-25,14:00,Bournemouth,Newcastle,17,https://www.football-data.co.uk/mmz4281/2425/E0.csv,809efd2ca62df7db65e8bacaa9f0b4d0a721a5d4bda43ad21de4cfaaa1dbc9e0
69,E0,England Premier League,2024-08-25,14:00,Wolves,Chelsea,18,https://www.football-data.co.uk/mmz4281/2425/E0.csv,e040f4522d9b6cb7562050baa826e45371752c70bd6dde2c40a2a36046373e6b
70,E0,England Premier League,2024-08-25,16:30,Liverpool,Brentford,19,https://www.football-data.co.uk/mmz4281/2425/E0.csv,89d6823aab62c881f41944c4a7b54f2f006321520f7bbc66aafbff417bc34786
71,SP1,Spain La Liga,2024-08-25,16:00,Real Madrid,Valladolid,16,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,8cdcf204cf779b8ba484289a6d52632c57ee3a958c63599537a5894d85063fa6
72,SP1,Spain La Liga,2024-08-25,18:00,Leganes,Las Palmas,17,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,b808af0734744db3b39f69e0358d27c4c29f100bd739c863042ea1612b5490da
73,SP1,Spain La Liga,2024-08-25,18:15,Alaves,Betis,18,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,f23ec646297e4003919921fcc925ba9448a006d0720fc3578a1387bdc0d09f50
74,SP1,Spain La Liga,2024-08-25,20:30,Ath Madrid,Girona,19,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,411f4723af457fc9063bc504ae1e7f2bb74d714059ad523bdeaeaf29fa588487
75,I1,Italy Serie A,2024-08-25,17:30,Fiorentina,Venezia,14,https://www.football-data.co.uk/mmz4281/2425/I1.csv,1334d2fd96d04402be4dee498e478f80eb6e0e20ad25e5eaf697695a4e852cb2
76,I1,Italy Serie A,2024-08-25,17:30,Torino,Atalanta,15,https://www.football-data.co.uk/mmz4281/2425/I1.csv,f6d46606b6f7bc8148292e9c3d5deb4e3d364274eea2eceecd0c9af70b2f7774
77,I1,Italy Serie A,2024-08-25,19:45,Napoli,Bologna,16,https://www.football-data.co.uk/mmz4281/2425/I1.csv,5231fa0d1c280f75b15ff62c1f01cb74f180a107cfcf1a6339a8629df59227aa
78,I1,Italy Serie A,2024-08-25,19:45,Roma,Empoli,17,https://www.football-data.co.uk/mmz4281/2425/I1.csv,a134fdd2ad4256a5fe8130f1a72a8e09fcb08eb0918a217c5d54e8d9d0093599
79,D1,Germany Bundesliga,2024-08-25,14:30,Wolfsburg,Bayern Munich,7,https://www.football-data.co.uk/mmz4281/2425/D1.csv,3830e857217b6e4b5e3cf24c4c114529c128cf2fc92bc9d274d421d6a0d79590
80,D1,Germany Bundesliga,2024-08-25,16:30,St Pauli,Heidenheim,8,https://www.football-data.co.uk/mmz4281/2425/D1.csv,b59906ae45791554d4e4f4b6c211d9653f007a2fff15550bd6b280ee1636accf
81,F1,France Ligue 1,2024-08-25,14:00,Lens,Brest,13,https://www.football-data.co.uk/mmz4281/2425/F1.csv,74eef5fcac0b08719d5acdcdb870cea4d1569266c9e73c098b31d6576c2d8af9
82,F1,France Ligue 1,2024-08-25,16:00,Nantes,Auxerre,14,https://www.football-data.co.uk/mmz4281/2425/F1.csv,502c18aa168532cdcdffd38dfeed9e9be458f6cdcac615cf667654ceee5bc078
83,F1,France Ligue 1,2024-08-25,16:00,Nice,Toulouse,15,https://www.football-data.co.uk/mmz4281/2425/F1.csv,c1fd5356a8e4080a716d8ca7aaafc6ef8784f2892063a41b0b2f0064c2e742b4
84,F1,France Ligue 1,2024-08-25,16:00,Strasbourg,Rennes,16,https://www.football-data.co.uk/mmz4281/2425/F1.csv,f9b1fd3d01fd27c0768fa64dc5e3304bc42e07ec2da6b061347abc482782cb80
85,F1,France Ligue 1,2024-08-25,19:45,Marseille,Reims,17,https://www.football-data.co.uk/mmz4281/2425/F1.csv,55c09619cd204fd10ba718949c19dbc6d054f190f530ff9e574ff09bfcaa3058
86,SP1,Spain La Liga,2024-08-26,20:30,Villarreal,Celta,20,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,8c1269fedc6c6ffd5295dfdf3d2927ccc1fae71f16f8f0a20845a175dc37de33
87,I1,Italy Serie A,2024-08-26,17:30,Cagliari,Como,18,https://www.football-data.co.uk/mmz4281/2425/I1.csv,c84d7dc7f3d1752c83e86caadf138befbd0fec2b2f08616d09c72dc151644515
88,I1,Italy Serie A,2024-08-26,19:45,Verona,Juventus,19,https://www.football-data.co.uk/mmz4281/2425/I1.csv,d913be73b6a0e2067c3417f1ea104c920eaddbc05031f658a17db14a7307aa61
89,SP1,Spain La Liga,2024-08-27,18:00,Mallorca,Sevilla,21,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,2dc950582c82524c429d49eb0bcbbcac98a331452efce2f412667afd7f09549c
90,SP1,Spain La Liga,2024-08-27,20:30,Vallecano,Barcelona,22,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,8409cc7663c20800f7b0b4f9b0df952500c83f80d0c13deea2ef3a940740fed4
91,SP1,Spain La Liga,2024-08-28,18:00,Ath Bilbao,Valencia,23,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,c563501d4d921b203f420afaf65fcea79ad9ea67de272eb05ab51e6bb8b28f70
92,SP1,Spain La Liga,2024-08-28,18:00,Valladolid,Leganes,24,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,263c34dfb9c06ed545c481befbdd55191744676379318a2e41b875053fc05bb2
93,SP1,Spain La Liga,2024-08-28,20:30,Ath Madrid,Espanol,25,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,b5187bd966e81ad8cfee40949d6762a3dd9fc8baf22aad39e63562cee1189343
94,SP1,Spain La Liga,2024-08-28,20:30,Sociedad,Alaves,26,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,751ac95d8a34da9f3c663a3536e915691bf5705ace45badf701b3674249c1c67
95,SP1,Spain La Liga,2024-08-29,18:00,Girona,Osasuna,27,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,54b2c612b1825ab43b52c21bc02b69555d7ac66889f0bd1d28285277ef55b356
96,SP1,Spain La Liga,2024-08-29,20:30,Las Palmas,Real Madrid,28,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,7c357a783ae8ff52505d19c548a68eeda1badf704aadc51c8cb4c8e62beac3bd
97,I1,Italy Serie A,2024-08-30,17:30,Venezia,Torino,20,https://www.football-data.co.uk/mmz4281/2425/I1.csv,80ccb458f00a8cde4859ba702c4ee67b097e35b34f2be4997ef9e2d1d4d7e5d9
98,I1,Italy Serie A,2024-08-30,19:45,Inter,Atalanta,21,https://www.football-data.co.uk/mmz4281/2425/I1.csv,358340026ca5b9a412f2f5e2362f5026ad6f4a3ff99a0bd3defb2aa67f445803
99,D1,Germany Bundesliga,2024-08-30,19:30,Union Berlin,St Pauli,9,https://www.football-data.co.uk/mmz4281/2425/D1.csv,0e9d1e76a8b542a93ce2cedb2ed937cfddddb22bc21f6077adf30a9d8cdb956f
100,F1,France Ligue 1,2024-08-30,19:45,Lyon,Strasbourg,18,https://www.football-data.co.uk/mmz4281/2425/F1.csv,fb09a906b405fab29bf6ac55db268ede113132dca07216d3302be798cf137922
