match_id,date_time,outcome,baseline_pH,baseline_pD,baseline_pA,challenger_pH,challenger_pD,challenger_pA
1484290,2015-12-16T19:00:00,A,0.08158011,0.18768052,0.73073937,0.08215736,0.18193264,0.73591000
1489737,2015-12-17T20:45:00,A,0.48017098,0.28333540,0.23649362,0.55850635,0.16641832,0.27507533
1502379,2015-12-19T15:30:00,A,0.06639583,0.14031055,0.79329362,0.06704222,0.13194110,0.80101667
1502474,2015-12-19T16:00:00,H,0.51752127,0.25365831,0.22882042,0.60942441,0.12112048,0.26945510
1502568,2015-12-19T16:30:00,D,0.49094594,0.27676775,0.23228631,0.43922685,0.35295723,0.20781592
1502575,2015-12-19T17:00:00,A,0.12967624,0.22083347,0.64949029,0.13468227,0.19075445,0.67456328
1502638,2015-12-19T18:30:00,D,0.47558973,0.27987643,0.24453384,0.56037883,0.15149134,0.28812983
1509587,2015-12-20T12:00:00,D,0.40538728,0.29429804,0.30031468,0.42381908,0.26221179,0.31396913
1509938,2015-12-20T17:00:00,H,0.41493487,0.29294927,0.29211587,0.41316891,0.29595847,0.29087262
1528456,2015-12-23T16:00:00,A,0.29305365,0.28627705,0.42066930,0.32724301,0.20300994,0.46974705
1239812,2015-12-25T18:00:00,A,0.24015814,0.25284134,0.50700052,0.22315072,0.30575330,0.47109597
1543407,2015-12-26T14:00:00,H,0.54590274,0.23825351,0.21584375,0.60002611,0.16273037,0.23724352
1543451,2015-12-26T16:00:00,H,0.66108271,0.21183056,0.12708674,0.73603666,0.12246744,0.14149591
1543533,2015-12-26T16:00:00,D,0.33028302,0.24613530,0.42358168,0.37168988,0.15162493,0.47668519
1543599,2015-12-26T18:30:00,D,0.36912189,0.31356280,0.31731531,0.39719595,0.26135489,0.34144915
1547500,2015-12-27T12:30:00,A,0.36824943,0.30632895,0.32542162,0.41464826,0.21892752,0.36642422
1547534,2015-12-27T15:00:00,H,0.48215547,0.26550447,0.25234006,0.44739727,0.31845366,0.23414907
1547561,2015-12-27T18:00:00,H,0.67453313,0.20914616,0.11632071,0.71483158,0.16189840,0.12327003
1552972,2015-12-28T21:00:00,H,0.68001979,0.20507609,0.11490412,0.63560888,0.25699119,0.10739993
1573732,2016-01-01T15:30:00,H,0.41651817,0.27445174,0.30903009,0.39129426,0.31839019,0.29031555
1581521,2016-01-02T16:00:00,H,0.36418989,0.27496721,0.36084289,0.36809522,0.26719245,0.36471233
1581582,2016-01-02T16:00:00,H,0.75035438,0.16405557,0.08559005,0.77268800,0.13917443,0.08813756
1581553,2016-01-02T16:00:00,H,0.55545510,0.22227245,0.22227245,0.65443993,0.08367758,0.26188249
1589192,2016-01-03T17:00:00,A,0.41395859,0.31642447,0.26961694,0.46354489,0.23454193,0.30191318
1631832,2016-01-09T16:00:00,H,0.42593630,0.27497975,0.29908395,0.48803068,0.16928394,0.34268538
1631818,2016-01-09T16:00:00,D,0.25614173,0.25409582,0.48976245,0.29004778,0.15535882,0.55459340
1631795,2016-01-09T16:00:00,H,0.52799571,0.24256413,0.22944016,0.54764355,0.21437834,0.23797812
1631892,2016-01-09T16:00:00,H,0.41889274,0.28779225,0.29331500,0.45020399,0.23455640,0.31523961
1631905,2016-01-09T16:30:00,H,0.53573967,0.26005429,0.20420604,0.48421347,0.33122055,0.18456598
1631914,2016-01-09T17:00:00,H,0.38487532,0.29886108,0.31626360,0.39214083,0.28562528,0.32223389
1654685,2016-01-12T20:45:00,H,0.49142981,0.27994852,0.22862167,0.56584840,0.17090912,0.26324248
1662505,2016-01-13T18:45:00,A,0.35870433,0.30858888,0.33270679,0.39907221,0.23077882,0.37014896
1662516,2016-01-13T20:45:00,H,0.48765321,0.28113987,0.23120692,0.56073428,0.17340948,0.26585623
1681806,2016-01-16T16:00:00,A,0.24395151,0.26991217,0.48613632,0.26390161,0.21020633,0.52589205
1681867,2016-01-16T16:00:00,A,0.33217522,0.25991073,0.40791404,0.33343524,0.25710341,0.40946135
1681935,2016-01-16T17:00:00,D,0.25935769,0.27693839,0.46370392,0.28403081,0.20815236,0.50781683
1681940,2016-01-16T17:15:00,D,0.31605251,0.29829262,0.38565487,0.37464286,0.16820892,0.45714822
1682031,2016-01-16T23:30:00,H,0.40777851,0.28140470,0.31081679,0.46180238,0.18620277,0.35199485
1689596,2016-01-17T13:15:00,A,0.28601729,0.27571469,0.43826803,0.30198699,0.23527440,0.46273861
1689844,2016-01-17T16:15:00,H,0.81530554,0.13233945,0.05235501,0.81502610,0.13263684,0.05233706
1708814,2016-01-20T21:00:00,D,0.47999002,0.27631241,0.24369756,0.49067003,0.26021003,0.24911995
1727050,2016-01-23T16:00:00,H,0.48902913,0.27905840,0.23191246,0.55313249,0.18455530,0.26231222
1727158,2016-01-23T16:00:00,A,0.55515658,0.23429057,0.21055285,0.55824390,0.23003232,0.21172377
1727156,2016-01-23T16:00:00,H,0.27534731,0.26628696,0.45836573,0.28903883,0.22980340,0.48115777
1727296,2016-01-23T18:00:00,D,0.39204821,0.29973893,0.30821286,0.44729000,0.20106820,0.35164179
1734948,2016-01-24T12:30:00,H,0.25451361,0.25558124,0.48990515,0.26890613,0.21348501,0.51760886
1735047,2016-01-24T14:30:00,D,0.58642113,0.21965445,0.19392442,0.63982403,0.14859167,0.21158430
1743533,2016-01-25T20:30:00,D,0.45055578,0.29738596,0.25205826,0.47310640,0.26221965,0.26467395
1743531,2016-01-25T20:30:00,H,0.42678232,0.30162893,0.27158875,0.46475511,0.23949164,0.29575325
1756431,2016-01-27T20:45:00,D,0.63086595,0.21126226,0.15787179,0.65541187,0.18057381,0.16401431
1763139,2016-01-29T01:00:00,H,0.58920334,0.24039066,0.17040600,0.51709106,0.33335883,0.14955010
1776083,2016-01-30T13:45:00,A,0.08703828,0.16150859,0.75145313,0.09086142,0.12467796,0.78446062
1776096,2016-01-30T14:00:00,H,0.59575129,0.24002061,0.16422811,0.57740180,0.26342842,0.15916979
1781787,2016-01-30T16:00:00,A,0.52159055,0.22502535,0.25338409,0.58677112,0.12818064,0.28504824
1781756,2016-01-30T16:00:00,A,0.45375361,0.24908255,0.29716384,0.48028169,0.20518120,0.31453711
1781871,2016-01-30T17:00:00,D,0.39687396,0.30935313,0.29377291,0.41871674,0.27134195,0.30994131
1781914,2016-01-30T18:00:00,A,0.32783873,0.31609846,0.35606281,0.36240088,0.24399865,0.39360047
1781978,2016-01-30T20:00:00,A,0.45594046,0.29064313,0.25341641,0.49037871,0.23706375,0.27255754
1781962,2016-01-30T20:00:00,A,0.20853456,0.26790183,0.52356362,0.21094292,0.25944685,0.52961023
1788571,2016-01-31T17:00:00,H,0.43784460,0.30570356,0.25645184,0.40341897,0.36029278,0.23628825
1793930,2016-01-31T20:30:00,H,0.87190459,0.08845160,0.03964382,0.87579595,0.08438331,0.03982075
1793941,2016-01-31T21:00:00,A,0.13560297,0.23821793,0.62617911,0.13787634,0.22544671,0.63667695
1793960,2016-01-31T22:00:00,H,0.40153871,0.28339405,0.31506724,0.39444942,0.29604596,0.30950462
1794708,2016-02-02T21:00:00,H,0.42120997,0.29595191,0.28283813,0.47604436,0.20429678,0.31965885
1794707,2016-02-02T21:00:00,A,0.37446285,0.30439735,0.32113980,0.43574127,0.19056647,0.37369226
1805001,2016-02-04T22:00:00,D,0.45683310,0.28326060,0.25990630,0.42456155,0.33389243,0.24154602
1813534,2016-02-06T04:00:00,A,0.20740306,0.27057757,0.52201938,0.21706076,0.23661207,0.54632717
1816846,2016-02-06T15:30:00,H,0.38690918,0.30473337,0.30835745,0.45434023,0.18356136,0.36209841
1415365,2016-02-06T16:00:00,H,0.38879700,0.28478248,0.32642052,0.44281521,0.18541244,0.37177235
1817143,2016-02-06T20:30:00,D,0.51138480,0.27866336,0.20995184,0.60652566,0.14446190,0.24901244
1817189,2016-02-07T01:00:00,D,0.15882972,0.26820499,0.57296529,0.15428959,0.28912329,0.55658712
1824816,2016-02-07T17:00:00,H,0.45874137,0.27625420,0.26500442,0.41976940,0.33773939,0.24249121
1824849,2016-02-07T18:00:00,A,0.71153984,0.19473722,0.09372294,0.73893064,0.16373855,0.09733081
1859072,2016-02-12T18:30:00,A,0.31680645,0.29527711,0.38791644,0.36108378,0.19678402,0.44213220
1859105,2016-02-12T20:00:00,A,0.10869621,0.17629128,0.71501251,0.11384245,0.13729270,0.74886485
1866371,2016-02-13T14:00:00,A,0.37021552,0.31593912,0.31384537,0.35205601,0.34949311,0.29845088
1866819,2016-02-13T20:45:00,H,0.58191647,0.23271761,0.18536592,0.61094204,0.19444612,0.19461184
1866851,2016-02-13T23:00:00,A,0.33858800,0.30707571,0.35433628,0.37160107,0.23951408,0.38888484
1874521,2016-02-14T14:30:00,A,0.26130014,0.26835960,0.47034026,0.28015805,0.21555747,0.50428449
1874654,2016-02-14T15:00:00,D,0.43816998,0.29069458,0.27113544,0.50573206,0.18132571,0.31294222
1874835,2016-02-14T20:00:00,H,0.41834453,0.27101606,0.31063941,0.42902785,0.25239989,0.31857225
1874970,2016-02-15T02:00:00,H,0.56441209,0.24707582,0.18851209,0.53649802,0.28431312,0.17918887
1478525,2016-02-16T20:45:00,D,0.47028610,0.24147403,0.28823987,0.44799184,0.27743251,0.27457565
2090805,2016-02-20T16:00:00,A,0.38575668,0.27299703,0.34124629,0.38615710,0.27224238,0.34160051
2090794,2016-02-20T16:00:00,A,0.40029330,0.27438225,0.32532445,0.40762826,0.26108607,0.33128568
2090990,2016-02-20T18:00:00,D,0.46132081,0.29885472,0.23982447,0.52037366,0.20910238,0.27052396
2099582,2016-02-21T12:00:00,A,0.38388776,0.31503721,0.30107502,0.41345105,0.26228806,0.32426088
1781841,2016-02-23T20:45:00,D,0.31819758,0.27745273,0.40434969,0.35971694,0.18317261,0.45711044
2120598,2016-02-25T02:00:00,H,0.75631872,0.16702710,0.07665418,0.68754172,0.24277477,0.06968351
2139262,2016-02-27T10:00:00,H,0.33531580,0.24709184,0.41759236,0.34789428,0.21884849,0.43325723
2139521,2016-02-27T15:00:00,A,0.35468766,0.29215948,0.35315286,0.34884441,0.30382070,0.34733489
2139597,2016-02-27T15:30:00,A,0.12102863,0.19405861,0.68491275,0.12411688,0.17349370,0.70238943
2139655,2016-02-27T16:00:00,H,0.57077308,0.25278055,0.17644638,0.63349190,0.17067309,0.19583501
2139938,2016-02-27T20:15:00,A,0.41735809,0.30952851,0.27311339,0.49208088,0.18590817,0.32201096
2147525,2016-02-28T08:00:00,A,0.66264185,0.18724782,0.15011033,0.63294807,0.22366822,0.14338371
2147533,2016-02-28T11:00:00,H,0.65307567,0.18746368,0.15946065,0.62503489,0.22235114,0.15261397
2147774,2016-02-28T14:00:00,H,0.15954126,0.23263117,0.60782757,0.15215348,0.26816526,0.57968126
2147876,2016-02-28T14:30:00,H,0.64626424,0.20398134,0.14975442,0.67709037,0.16601209,0.15689755
2147939,2016-02-28T15:00:00,A,0.24238518,0.29952980,0.45808502,0.23591809,0.31821909,0.44586282
2148172,2016-02-28T21:00:00,A,0.34284671,0.30085622,0.35629706,0.31398326,0.35971549,0.32630125
2157360,2016-02-29T10:30:00,H,0.43586559,0.26124844,0.30288597,0.41751290,0.29235455,0.29013255
2157409,2016-02-29T18:30:00,H,0.46554806,0.30351523,0.23093671,0.52913348,0.20838805,0.26247848
2157414,2016-02-29T19:00:00,H,0.44495223,0.28044091,0.27460687,0.50397829,0.18498629,0.31103541
