league_id,season,stage,source_code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgCA,AvgCD,AvgCH,B365CA,B365CD,B365CH,BFECA,BFECD,BFECH,Country,League,MaxCA,MaxCD,MaxCH,PSCA,PSCD,PSCH,Season
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,08/03/2026,15:30,Grasshoppers,Lausanne,2,3,A,2.48,3.3,2.61,2.5,3.4,2.57,2.66,3.55,2.82,Switzerland,Super League,2.57,3.4,2.71,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,08/03/2026,15:30,Young Boys,Thun,1,2,A,2.8,3.77,2.14,2.85,3.8,2.1,3.2,4.1,2.2,Switzerland,Super League,2.9,3.9,2.25,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,14/03/2026,17:00,Thun,Grasshoppers,5,1,H,5.67,4.07,1.5,6.25,3.9,1.49,6.8,4.6,1.55,Switzerland,Super League,6.5,4.33,1.55,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,14/03/2026,17:00,Zurich,Sion,1,2,A,1.92,3.63,3.42,1.91,3.75,3.5,2.04,3.9,3.8,Switzerland,Super League,1.96,3.8,3.6,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,15/03/2026,13:00,Lausanne,Young Boys,0,2,A,2.72,3.68,2.23,2.75,3.8,2.2,2.9,3.95,2.42,Switzerland,Super League,2.9,3.85,2.3,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,15/03/2026,15:30,Basel,Servette,3,1,H,2.89,3.59,2.16,2.82,3.75,2.2,3.2,3.9,2.28,Switzerland,Super League,3,3.75,2.2,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,15/03/2026,15:30,Luzern,Winterthur,1,2,A,7.67,5.55,1.29,8,5.5,1.27,8.8,6.4,1.35,Switzerland,Super League,9,5.75,1.32,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,17/03/2026,18:00,St. Gallen,Lugano,1,1,D,3.36,3.5,1.97,3.4,3.5,2.01,3.7,3.75,2.1,Switzerland,Super League,3.6,3.6,2.01,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,21/03/2026,17:00,Servette,Grasshoppers,5,0,H,4.17,3.57,1.76,4.5,3.5,1.76,4.6,3.75,1.89,Switzerland,Super League,4.5,3.75,1.83,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,21/03/2026,17:00,Zurich,Thun,2,1,H,1.55,4.11,5.06,1.53,4.1,5.5,1.61,4.6,6,Switzerland,Super League,1.6,4.2,6,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,21/03/2026,19:30,Sion,St. Gallen,1,1,D,2.91,3.43,2.22,3,3.5,2.2,3.2,3.6,2.38,Switzerland,Super League,3.1,3.5,2.28,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,22/03/2026,13:00,Winterthur,Basel,0,2,A,1.7,3.99,4.05,1.68,4.1,4.2,1.8,4.3,4.5,Switzerland,Super League,1.75,4.1,4.25,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,22/03/2026,15:30,Luzern,Lausanne,4,0,H,3.79,3.99,1.74,4.1,4.1,1.68,4.3,4.4,1.83,Switzerland,Super League,4.1,4.1,1.86,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,22/03/2026,15:30,Young Boys,Lugano,1,1,D,3.64,3.73,1.83,3.9,3.9,1.76,4.2,4,1.9,Switzerland,Super League,3.9,3.9,1.93,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,04/04/2026,17:00,Lausanne,Winterthur,2,1,H,5.49,4.43,1.46,6.25,4.2,1.49,6.2,4.7,1.57,Switzerland,Super League,6.25,4.6,1.51,,,,2025/2026
