competition_id,season,source_season,stage,source_code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,game_id,meet_name,round,venue
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-10,19:00,성남,광주,2,0,H,51,하나원큐 K리그1 2021,9,탄천 종합 운동장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-11,16:00,제주,수원,2,1,H,52,하나원큐 K리그1 2021,9,제주 월드컵 경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-11,16:30,수원FC,울산,0,1,A,53,하나원큐 K리그1 2021,9,수원 종합 운동장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-11,19:00,전북,인천,5,0,H,54,하나원큐 K리그1 2021,9,전주 월드컵 경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-17,14:00,수원FC,강원,2,1,H,56,하나원큐 K리그1 2021,10,수원 종합 운동장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-17,16:30,인천,제주,0,3,A,55,하나원큐 K리그1 2021,10,인천 축구 전용경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-17,16:30,서울,대구,0,1,A,57,하나원큐 K리그1 2021,10,서울 월드컵 경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-17,19:00,광주,포항,0,1,A,58,하나원큐 K리그1 2021,10,광주 축구 전용경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-18,14:00,수원,울산,3,0,H,59,하나원큐 K리그1 2021,10,수원 월드컵 경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-18,16:30,전북,성남,1,0,H,60,하나원큐 K리그1 2021,10,전주 월드컵 경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-20,19:00,강원,광주,0,1,A,61,하나원큐 K리그1 2021,11,춘천 송암 스포츠타운
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-20,19:30,포항,수원FC,1,0,H,62,하나원큐 K리그1 2021,11,포항 스틸야드
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-21,19:00,울산,전북,0,0,D,63,하나원큐 K리그1 2021,11,울산 문수 축구경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-21,19:30,성남,인천,1,3,A,64,하나원큐 K리그1 2021,11,탄천 종합 운동장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-21,19:30,대구,수원,1,0,H,65,하나원큐 K리그1 2021,11,DGB대구은행파크
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-21,19:30,제주,서울,2,1,H,66,하나원큐 K리그1 2021,11,제주 월드컵 경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-24,14:00,포항,제주,0,0,D,67,하나원큐 K리그1 2021,12,포항 스틸야드
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-24,16:30,광주,대구,0,1,A,68,하나원큐 K리그1 2021,12,광주 축구 전용경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-24,19:00,강원,전북,1,1,D,69,하나원큐 K리그1 2021,12,춘천 송암 스포츠타운
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-25,14:00,인천,울산,0,0,D,70,하나원큐 K리그1 2021,12,인천 축구 전용경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-25,16:30,수원FC,서울,1,1,D,71,하나원큐 K리그1 2021,12,수원 종합 운동장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-25,19:00,성남,수원,0,1,A,72,하나원큐 K리그1 2021,12,탄천 종합 운동장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-30,19:30,서울,성남,2,2,D,73,하나원큐 K리그1 2021,13,서울 월드컵 경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-05-01,14:00,수원FC,대구,2,4,A,74,하나원큐 K리그1 2021,13,수원 종합 운동장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-05-01,16:30,수원,포항,1,1,D,75,하나원큐 K리그1 2021,13,수원 월드컵 경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-05-01,19:00,울산,광주,2,0,H,76,하나원큐 K리그1 2021,13,울산 문수 축구경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-05-02,14:00,전북,제주,1,1,D,77,하나원큐 K리그1 2021,13,전주 월드컵 경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-05-02,16:30,인천,강원,1,0,H,78,하나원큐 K리그1 2021,13,인천 축구 전용경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-05-08,14:00,대구,인천,3,0,H,79,하나원큐 K리그1 2021,14,DGB대구은행파크
